WKT,name,description,Language,Type,LastUpdated,BorderNorth,BorderEast,BorderSouth,BorderWest,,,,,,
"POLYGON ((36.753461 -1.519962, 36.754893 -1.51945, 36.759627 -1.516774, 36.764797 -1.51425, 36.767911 -1.514127, 36.768798 -1.513614, 36.772123 -1.518179, 36.772837 -1.517745, 36.776988 -1.515075, 36.778533 -1.514116, 36.778851 -1.513906, 36.779278 -1.513591, 36.779519 -1.513064, 36.780041 -1.512853, 36.780446 -1.512852, 36.781366 -1.512745, 36.781771 -1.512744, 36.782457 -1.513055, 36.782844 -1.513264, 36.783349 -1.513265, 36.783845 -1.51337, 36.784129 -1.51358, 36.78467 -1.51316, 36.785002 -1.512844, 36.785232 -1.512527, 36.785483 -1.511999, 36.785642 -1.511362, 36.78628 -1.511044, 36.786908 -1.509689, 36.787006 -1.509274, 36.786816 -1.508724, 36.786895 -1.508239, 36.787283 -1.507976, 36.787226 -1.507396, 36.786978 -1.506745, 36.786626 -1.50609, 36.786543 -1.505871, 36.784626 -1.50337, 36.783514 -1.50261, 36.782174 -1.502348, 36.781897 -1.5019, 36.781418 -1.501341, 36.781329 -1.50112, 36.780843 -1.500567, 36.780454 -1.500123, 36.780261 -1.499897, 36.779876 -1.499443, 36.779511 -1.498651, 36.779323 -1.498312, 36.778939 -1.497746, 36.778751 -1.497405, 36.778576 -1.496836, 36.778381 -1.496606, 36.777772 -1.496258, 36.777381 -1.495791, 36.777089 -1.495437, 36.776796 -1.495082, 36.776409 -1.494498, 36.775898 -1.494149, 36.775592 -1.493918, 36.775079 -1.49357, 36.774885 -1.493221, 36.774277 -1.492639, 36.773761 -1.492289, 36.773357 -1.491822, 36.772929 -1.491822, 36.772315 -1.491236, 36.77201 -1.490883, 36.771382 -1.490533, 36.770957 -1.490418, 36.770331 -1.489954, 36.770228 -1.489838, 36.769488 -1.489487, 36.769492 -1.489371, 36.768987 -1.488541, 36.768674 -1.488294, 36.768067 -1.487217, 36.767872 -1.486617, 36.767559 -1.486259, 36.767138 -1.485898, 36.766823 -1.48554, 36.766851 -1.484696, 36.766862 -1.484333, 36.767028 -1.48173, 36.767032 -1.481624, 36.767156 -1.480982, 36.767273 -1.480554, 36.767296 -1.479912, 36.767524 -1.479264, 36.767643 -1.47883, 36.767666 -1.478182, 36.76779 -1.477635, 36.76792 -1.476973, 36.767933 -1.476639, 36.768637 -1.471746, 36.770984 -1.464161, 36.772314 -1.457352, 36.772452 -1.456743, 36.773566 -1.451546, 36.76972 -1.454705, 36.75754 -1.454545, 36.754234 -1.454668, 36.753588 -1.454761, 36.752918 -1.454809, 36.745295 -1.455599, 36.745062 -1.455603, 36.74491 -1.455428, 36.74461 -1.454991, 36.74434 -1.454457, 36.744114 -1.45419, 36.744008 -1.453742, 36.743813 -1.453292, 36.743751 -1.453113, 36.743526 -1.452843, 36.743313 -1.452482, 36.743176 -1.452211, 36.742724 -1.451668, 36.742365 -1.451035, 36.742134 -1.450763, 36.741664 -1.450222, 36.74128 -1.44968, 36.741044 -1.449409, 36.740816 -1.449047, 36.74035 -1.448411, 36.740042 -1.447955, 36.73989 -1.447683, 36.739334 -1.447041, 36.739091 -1.446768, 36.738929 -1.446586, 36.738367 -1.445857, 36.738039 -1.445579, 36.737726 -1.445117, 36.7375 -1.444655, 36.737161 -1.444382, 36.737003 -1.444107, 36.73652 -1.44346, 36.736054 -1.442708, 36.735749 -1.442142, 36.735351 -1.441576, 36.735043 -1.441007, 36.734626 -1.440626, 36.734127 -1.44015, 36.733889 -1.439768, 36.733482 -1.439286, 36.73332 -1.439092, 36.732935 -1.43832, 36.732705 -1.437836, 36.732301 -1.437252, 36.732053 -1.43696, 36.731924 -1.436372, 36.731797 -1.435689, 36.73163 -1.435494, 36.731412 -1.434896, 36.731274 -1.434397, 36.730847 -1.43409, 36.730697 -1.433691, 36.73046 -1.433284, 36.729976 -1.432479, 36.72982 -1.432082, 36.729487 -1.431583, 36.729241 -1.431181, 36.728914 -1.430579, 36.72875 -1.430277, 36.728429 -1.429572, 36.728038 -1.428718, 36.728006 -1.428718, 36.727805 -1.42879, 36.72771 -1.42879, 36.72751 -1.428862, 36.72741 -1.428898, 36.72731 -1.428933, 36.727182 -1.428935, 36.727071 -1.428828, 36.726849 -1.42883, 36.726583 -1.428719, 36.726433 -1.428681, 36.726192 -1.428607, 36.726071 -1.42857, 36.72581 -1.42861, 36.725675 -1.42865, 36.72538 -1.428693, 36.725316 -1.428694, 36.72505 -1.428771, 36.724986 -1.428772, 36.724795 -1.428774, 36.724605 -1.428774, 36.724423 -1.428736, 36.724266 -1.428734, 36.724146 -1.428696, 36.72399 -1.428694, 36.723865 -1.428693, 36.723646 -1.42869, 36.723519 -1.428691, 36.723288 -1.428766, 36.72322 -1.428803, 36.72306 -1.428805, 36.722868 -1.428809, 36.722677 -1.428812, 36.722322 -1.428885, 36.722259 -1.428885, 36.722046 -1.428813, 36.721983 -1.428813, 36.721888 -1.428813, 36.72177 -1.42874, 36.721652 -1.428667, 36.721534 -1.428593, 36.721364 -1.428409, 36.721304 -1.428372, 36.721182 -1.428333, 36.721126 -1.42826, 36.720982 -1.428083, 36.720927 -1.427976, 36.720841 -1.427836, 36.720686 -1.427767, 36.720558 -1.427769, 36.720425 -1.427841, 36.720297 -1.427843, 36.709 -1.417539, 36.710911 -1.41575, 36.712194 -1.410132, 36.704502 -1.404939, 36.702644 -1.409579, 36.702451 -1.409496, 36.701113 -1.409448, 36.700384 -1.409387, 36.69983 -1.409739, 36.699484 -1.409778, 36.698662 -1.410068, 36.698056 -1.410122, 36.697769 -1.410224, 36.697505 -1.410246, 36.697382 -1.410361, 36.697119 -1.410453, 36.696973 -1.410291, 36.69626 -1.410392, 36.694658 -1.410548, 36.694406 -1.410738, 36.694036 -1.410504, 36.693639 -1.410436, 36.693097 -1.410589, 36.691197 -1.409748, 36.69086 -1.4094, 36.688472 -1.409005, 36.687947 -1.409088, 36.687888 -1.413763, 36.687271 -1.414924, 36.685449 -1.414365, 36.684047 -1.413001, 36.68342 -1.412671, 36.682156 -1.412409, 36.680865 -1.411884, 36.678873 -1.411714, 36.676847 -1.411416, 36.675784 -1.411426, 36.674531 -1.410814, 36.672145 -1.409421, 36.671774 -1.409132, 36.671362 -1.409289, 36.673361 -1.419227, 36.673361 -1.420438, 36.672063 -1.420485, 36.671923 -1.420156, 36.670503 -1.419888, 36.669124 -1.419823, 36.666095 -1.418125, 36.663002 -1.418208, 36.662928 -1.418318, 36.662466 -1.417902, 36.661 -1.4176, 36.658622 -1.417895, 36.654069 -1.420207, 36.645235 -1.424213, 36.638389 -1.425537, 36.639676 -1.434215, 36.640463 -1.447055, 36.64076 -1.452033, 36.641415 -1.45378, 36.642525 -1.45807, 36.643019 -1.458274, 36.644439 -1.458078, 36.645309 -1.458015, 36.64744 -1.458898, 36.649601 -1.46028, 36.651453 -1.462463, 36.652296 -1.463293, 36.652974 -1.463652, 36.654763 -1.466807, 36.655953 -1.469111, 36.656569 -1.4706, 36.658168 -1.474325, 36.659057 -1.476576, 36.659378 -1.477471, 36.65986 -1.478567, 36.660615 -1.48045, 36.660849 -1.480853, 36.661395 -1.481464, 36.662213 -1.482348, 36.662814 -1.485334, 36.663385 -1.486141, 36.664893 -1.488616, 36.666165 -1.490707, 36.666209 -1.491138, 36.670488 -1.492729, 36.670671 -1.494697, 36.670965 -1.49512, 36.672478 -1.4957, 36.674098 -1.496876, 36.674558 -1.496955, 36.676312 -1.496725, 36.677674 -1.496817, 36.680062 -1.498052, 36.6836 -1.501314, 36.683653 -1.5023, 36.684577 -1.502776, 36.685254 -1.502522, 36.688148 -1.503904, 36.688346 -1.505784, 36.689476 -1.505871, 36.68977 -1.506881, 36.690815 -1.507038, 36.69422 -1.509459, 36.699014 -1.512539, 36.700808 -1.513604, 36.708314 -1.509615, 36.709857 -1.511009, 36.712923 -1.512615, 36.713661 -1.512439, 36.716943 -1.513117, 36.717745 -1.515465, 36.719061 -1.517383, 36.725369 -1.51725, 36.730507 -1.517749, 36.732451 -1.518149, 36.735281 -1.518129, 36.737944 -1.517928, 36.738228 -1.517954, 36.741598 -1.519517, 36.74576 -1.519308, 36.753461 -1.519962))",Rimpa Congregation Territory Map,,Kiswahili,Urban,2022-05-03,Ngong Hills, Kiserian Kamuranga Road, Stream, Oloika Rd,Oloika Road, Rimpa Road,Nkarusa Road,Stream, Loipoksen Road, Ngong Hills
"LINESTRING (36.672831 -1.41649 0.0, 36.673099 -1.416425 0.0, 36.673303 -1.41635 0.0, 36.674076 -1.416447 0.0, 36.674634 -1.417058 0.0, 36.675138 -1.417348 0.0, 36.675621 -1.417798 0.0, 36.675889 -1.417702 0.0, 36.676275 -1.417766 0.0, 36.676522 -1.417766 0.0, 36.67708 -1.417744 0.0, 36.677455 -1.417734 0.0, 36.677852 -1.417702 0.0, 36.678131 -1.41768 0.0, 36.678496 -1.417766 0.0, 36.67899 -1.417616 0.0, 36.679183 -1.417594 0.0, 36.679483 -1.417755 0.0, 36.67988 -1.417787 0.0, 36.680202 -1.417744 0.0, 36.68047 -1.417691 0.0, 36.680706 -1.417787 0.0, 36.681114 -1.417895 0.0, 36.681758 -1.417895 0.0, 36.68209 -1.418077 0.0, 36.682455 -1.418206 0.0, 36.682788 -1.418281 0.0, 36.683045 -1.418356 0.0, 36.683623 -1.418486 0.0, 36.684202 -1.418491 0.0, 36.68471 -1.418462 0.0, 36.684886 -1.418486 0.0, 36.685039 -1.418502 0.0, 36.685227 -1.41851 0.0, 36.68545 -1.418531 0.0, 36.685721 -1.41855 0.0, 36.685851 -1.418569 0.0, 36.68599 -1.418226 0.0, 36.687384 -1.41497 0.0, 36.687271 -1.414924 0.0)",Line 3,,,,,,,,,,,,,,
"LINESTRING (36.6733369 -1.4204196, 36.6745975 -1.4231506, 36.6748336 -1.4233168, 36.6799088 -1.4251306, 36.681731 -1.4258858, 36.6835334 -1.4264864, 36.6858186 -1.4273337, 36.6864409 -1.4276555, 36.685765 -1.4258, 36.6853895 -1.4248132, 36.6852607 -1.4243735, 36.6852071 -1.423923, 36.685368 -1.4233867, 36.6855719 -1.422711, 36.6856255 -1.4223464, 36.6855504 -1.4215205, 36.685529 -1.4201691, 36.6858294 -1.4187211, 36.685851 -1.418569)",Line 6,,,,,,,,,,,,,,
